colony_id,wax_dipping_inititals,wax_dipping_date,weight_before,weight_after,difference,surface_area,,,,,,,,,,,,,,,,,,,
15OFA1ML,TL/HLE,11/29/2022,2.0483,2.2538,0.2055,7.381615599,,,,,,,,,,,,,,,,,,,
15OFA2ML,TL/HLE,11/29/2022,12.9255,13.6683,0.7428,22.34818942,,,,,,,,,,,,,,,,,,,
15OFA3ML,TL/HLE,11/29/2022,4.884,5.2482,0.3642,11.80222841,,,,,,,,,,,,,,,,,,,
15OFA4ML,TL/HLE,11/29/2022,2.1261,2.3729,0.2468,8.532033426,,,,,,,,,,,,,,,,,,,
15OFA5ML,TL/HLE,11/29/2022,9.8687,10.2843,0.4156,13.23398329,,,,,,,,,,,,,,,,,,,
15OFA6ML,TL/HLE,11/29/2022,5.2697,5.6376,0.3679,11.90529248,,,,,,,,,,,,,,,,,,,
30OFA1ML,TL/HLE,11/29/2022,3.3792,3.6144,0.2352,8.208913649,,,,,,,,,,,,,,,,,,,
30OFA2ML,TL/HLE,11/29/2022,7.0714,7.6145,0.5431,16.78551532,,,,,,,,,,,,,,,,,,,
30OFA3ML,TL/HLE,11/29/2022,1.9057,2.1216,0.2159,7.671309192,,,,,,,,,,,,,,,,,,,
30OFA4ML,TL/HLE,11/29/2022,2.1397,2.4009,0.2612,8.933147632,,,,,,,,,,,,,,,,,,,
30OFA5ML,TL/HLE,11/29/2022,16.2154,17.4142,1.1988,35.05013928,,,,,,,,,,,,,,,,,,,
45OFA1ML,TL/HLE,11/29/2022,0.7332,0.8607,0.1275,5.208913649,,,,,,,,,,,,,,,,,,,
45OFA2ML,TL/HLE,11/29/2022,7.4539,7.8441,0.3902,12.5264624,,,,,,,,,,,,,,,,,,,
45OFA3ML,TL/HLE,11/29/2022,7.3852,7.9515,0.5663,17.43175487,,,,,,,,,,,,,,,,,,,
45OFA4ML,TL/HLE,11/29/2022,3.5262,3.8409,0.3147,10.42339833,,,,,,,,,,,,,,,,,,,
45OFA5ML,TL/HLE,11/29/2022,8.0545,8.4689,0.4144,13.2005571,,,,,,,,,,,,,,,,,,,
55OFA1ML,TL/HLE,11/29/2022,3.921,4.1836,0.2626,8.972144847,,,,,,,,,,,,,,,,,,,
55OFA2ML,TL/HLE,11/29/2022,15.3776,16.1449,0.7673,23.03064067,,,,,,,,,,,,,,,,,,,
55OFA3ML,TL/HLE,11/29/2022,3.7293,4.0756,0.3463,11.30362117,,,,,,,,,,,,,,,,,,,
55OFA4ML,TL/HLE,11/29/2022,6.8107,7.2086,0.3979,12.74094708,,,,,,,,,,,,,,,,,,,
